area,areaM2,balconyDirection,bedroom,bedroomCount,direction,floorCount,frontage,lat,legal,long,price,priceBil,priceExt,priceMil,pricePerM2,priceVnd,road,toiletCount
55 m²,55.0,0,2 PN,2 phòng,0,0,0,20.9836327535883,Sổ đỏ/ Sổ hồng,105.772147390114,"2,8 tỷ",2.8,"~50,91 triệu/m²",0.06224306126530522,50.90909090909091,0.36059960201804697,0,1 phòng
"85,5 m²",0.0,0,0,0,0,4 tầng,"4,5 m",20.9825325012207,Sổ đỏ/ Sổ hồng,105.789642333984,Thỏa thuận,0.0,0,0.0,0.0,0.0012098609467161303,15 m,0
82 m²,82.0,0,0,0,0,3 tầng,"6,6 m",20.9698793306142,Sổ đỏ/ Sổ hồng,105.780687958603,"22,8 tỷ",22.8,"~278,05 triệu/m²",0.5066776293860137,278.0487804878049,0.7151499005045118,0,0
65 m²,65.0,0,1 PN,1 phòng,0,1 tầng,5 m,20.9501839513702,Sổ đỏ/ Sổ hồng,105.791179624315,"12,5 tỷ",12.5,"~192,31 triệu/m²",0.2777938268038488,192.30769230769232,0.09374017245884635,0,1 phòng
200 m²,200.0,0,0,0,0,4 tầng,10 m,20.958282470703125,Sổ đỏ/ Sổ hồng,105.76719665527344,32 tỷ,32.0,~160 triệu/m²,0.7111175307215395,160.0,0.5684903382846601,0,0
90 m²,90.0,0,0,0,Nam,0,5 m,20.9550577077127,0,105.789821600066,"14,3 tỷ",14.3,"~158,89 triệu/m²",0.3177929379347126,158.88888888888889,0.6935296484492748,14 m,0
41 m²,41.0,0,4 PN,4 phòng,0,4 tầng,0,20.9672194602113,Sổ đỏ/ Sổ hồng,105.764875248248,"6,9 tỷ",6.9,"~168,29 triệu/m²",0.15335214773005043,168.29268292682926,0.4074696882474701,0,3 phòng
"82,5 m²",0.0,0,0,0,Đông - Nam,4 tầng,0,20.9731559753418,SĐCC,105.75764465332,20 tỷ,20.0,"~242,42 triệu/m²",0.44445678984911446,0.0,0.35576015919278126,0,0
"79,4 m²",0.0,0,2 PN,2 phòng,0,0,0,20.9744720458984,Sổ đỏ/ Sổ hồng,105.760879516602,"3,9 tỷ",3.9,"~49,12 triệu/m²",0.08668696251194417,0.0,0.09615989387147919,0,2 phòng
144 m²,144.0,0,0,0,Tây - Bắc,4 tầng,6 m,20.97924041748047,Sổ đỏ/ Sổ hồng,105.74178314208984,23 tỷ,23.0,"~159,72 triệu/m²",0.5111219750672207,159.72222222222223,0.6670699535687722,0,0
75 m²,75.0,0,5 PN,5 phòng,0,5 tầng,0,20.9599895477295,Sổ đỏ/ Sổ hồng,105.73592376709,10 tỷ,10.0,"~133,33 triệu/m²",0.22223950578876026,133.33333333333334,0.6947395091555914,0,5 phòng
67 m²,67.0,Đông - Nam,2 PN,2 phòng,Tây - Bắc,0,0,20.9397029876709,Đang chờ sổ,105.7872543334961,"2,39 tỷ",2.39,"~35,67 triệu/m²",0.05313215261883069,35.67164179104478,0.4591634932363131,0,2 phòng
